pdt,value_date,underlying_id,order,settle_value,returns,expdate
C,2017-01-02,C  Z7,4,380.0,0.009168368086879507,2017-11-24
C,2017-01-03,C  Z7,4,383.5,0.008438868645864604,2017-11-24
C,2017-01-04,C  Z7,4,386.75,0.004514680354526613,2017-11-24
C,2017-01-05,C  Z7,4,388.5,-0.007751976804317936,2017-11-24
C,2017-01-08,C  Z7,4,385.5,0.005174655790017487,2017-11-24
C,2017-01-09,C  Z7,4,387.5,-0.002583980765925018,2017-11-24
C,2017-01-10,C  Z7,4,386.5,-0.0019423767842064576,2017-11-24
C,2017-01-11,C  Z7,4,385.75,0.000647878221560671,2017-11-24
C,2017-01-12,C  Z7,4,386.0,0.000647458747124359,2017-11-24
C,2017-01-15,C  Z7,4,386.25,0.0,2017-11-24
C,2017-01-16,C  Z7,4,386.25,0.016051709010507825,2017-11-24
C,2017-01-17,C  Z7,4,392.5,-0.001912655986332913,2017-11-24
C,2017-01-18,C  Z7,4,391.75,0.00445718662132766,2017-11-24
C,2017-01-19,C  Z7,4,393.5,0.005701630903663674,2017-11-24
C,2017-01-22,C  Z7,4,395.75,0.0006315124933591015,2017-11-24
C,2017-01-23,C  Z7,4,396.0,-0.012706651269114801,2017-11-24
C,2017-01-24,C  Z7,4,391.0,0.007008630154476975,2017-11-24
C,2017-01-25,C  Z7,4,393.75,-0.007648220838256845,2017-11-24
C,2017-01-26,C  Z7,4,390.75,-0.0038461585874782754,2017-11-24
C,2017-01-29,C  Z7,4,389.25,-0.009680617710723507,2017-11-24
C,2017-01-30,C  Z7,4,385.5,0.0045292862935938155,2017-11-24
C,2017-01-31,C  Z7,4,387.25,0.02297484589451228,2017-11-24
C,2017-02-01,C  Z7,4,396.25,-0.004426184905561387,2017-11-24
C,2017-02-02,C  Z7,4,394.5,-0.00444586315019834,2017-11-24
C,2017-02-05,C  Z7,4,392.75,-0.0019114373452680396,2017-11-24
C,2017-02-06,C  Z7,4,392.0,0.010783485401027809,2017-11-24
C,2017-02-07,C  Z7,4,396.25,0.0031496089028962013,2017-11-24
C,2017-02-08,C  Z7,4,397.5,-0.00441223533326506,2017-11-24
C,2017-02-09,C  Z7,4,395.75,0.008805088334000368,2017-11-24
C,2017-02-12,C  Z7,4,399.25,0.0006259781112076208,2017-11-24
C,2017-02-13,C  Z7,4,399.5,0.0,2017-11-24
C,2017-02-14,C  Z7,4,399.5,0.008102256850754379,2017-11-24
C,2017-02-15,C  Z7,4,402.75,-0.009354605167220349,2017-11-24
C,2017-02-16,C  Z7,4,399.0,-0.01197619104671565,2017-11-24
C,2017-02-19,C  Z7,4,394.25,0.0,2017-11-24
C,2017-02-20,C  Z7,4,394.25,0.003797472917973835,2017-11-24
C,2017-02-21,C  Z7,4,395.75,0.0037831066557038992,2017-11-24
C,2017-02-22,C  Z7,4,397.25,-0.013941924180695165,2017-11-24
C,2017-02-23,C  Z7,4,391.75,-0.001916321250764401,2017-11-24
C,2017-02-26,C  N7,1,378.25,-0.006631324035381451,2017-06-23
C,2017-02-27,C  N7,1,375.75,0.013875346493617019,2017-06-23
C,2017-02-28,C  N7,1,381.0,0.02142243558740671,2017-06-23
C,2017-03-01,C  N7,1,389.25,-0.0077369825021524515,2017-06-23
C,2017-03-02,C  N7,1,386.25,0.0025856510850227636,2017-06-23
C,2017-03-05,C  N7,1,387.25,-0.004529286293593798,2017-06-23
C,2017-03-06,C  N7,1,385.5,-0.005853675251460653,2017-06-23
C,2017-03-07,C  N7,1,383.25,-0.00917437627604127,2017-06-23
C,2017-03-08,C  N7,1,379.75,-0.01392133851860812,2017-06-23
C,2017-03-09,C  N7,1,374.5,-0.006697948684127581,2017-06-23
C,2017-03-12,C  N7,1,372.0,-0.009453142643755253,2017-06-23
C,2017-03-13,C  N7,1,368.5,0.0033863899615179257,2017-06-23
C,2017-03-14,C  N7,1,369.75,0.0033749610165260007,2017-06-23
C,2017-03-15,C  N7,1,371.0,0.006715941965436809,2017-06-23
C,2017-03-16,C  N7,1,373.5,0.004008021397538868,2017-06-23
C,2017-03-19,C  N7,1,375.0,0.0,2017-06-23
C,2017-02-26,C  U7,2,384.5,-0.006523180339123484,2017-08-25
