underlying_id,valuedate,settle_value,ticker
BO  V8,26-Jun-15,33.31,BOV8 Comdty
BO  H6,26-Jun-15,33.78,BOH6 Comdty
BO  N8,26-Jun-15,33.31,BON8 Comdty
BO  V5,26-Jun-15,33.46,BOV15 Comdty
BO  Z8,26-Jun-15,33.31,BOZ8 Comdty
BO  Q5,26-Jun-15,33.31,BOQ15 Comdty
BO  V6,26-Jun-15,33.14,BOV6 Comdty
BO  F7,26-Jun-15,33.14,BOF7 Comdty
BO  Z7,26-Jun-15,33.31,BOZ7 Comdty
BO  N7,26-Jun-15,33.49,BON7 Comdty
BO  V7,26-Jun-15,33.42,BOV7 Comdty
BO  H7,26-Jun-15,33.31,BOH7 Comdty
BO  K7,26-Jun-15,33.39,BOK7 Comdty
BO  Q7,26-Jun-15,33.45,BOQ7 Comdty
BO  Z5,29-Jun-15,33.41,BOZ5 Comdty
BO  N6,29-Jun-15,33.27,BON6 Comdty
BO  K6,29-Jun-15,33.37,BOK6 Comdty
BO  Q5,29-Jun-15,33.11,BOQ15 Comdty
BO  Q6,29-Jun-15,33.16,BOQ6 Comdty
BO  U5,29-Jun-15,33.17,BOU15 Comdty
BO  U7,29-Jun-15,33.16,BOU7 Comdty
BO  F6,29-Jun-15,33.53,BOF16 Comdty
BO  N5,29-Jun-15,33.05,BON15 Comdty
BO  V6,29-Jun-15,32.77,BOV6 Comdty
BO  Z6,29-Jun-15,32.76,BOZ6 Comdty
BO  U6,29-Jun-15,33.05,BOU6 Comdty
BO  Z8,29-Jun-15,33.03,BOZ8 Comdty
BO  H6,29-Jun-15,33.52,BOH6 Comdty
BO  N7,29-Jun-15,33.21,BON7 Comdty
BO  V5,29-Jun-15,33.24,BOV15 Comdty
BO  V8,29-Jun-15,33.03,BOV8 Comdty
BO  F7,29-Jun-15,32.86,BOF7 Comdty
BO  N8,29-Jun-15,33.03,BON8 Comdty
BO  H7,29-Jun-15,33.03,BOH7 Comdty
BO  Q7,29-Jun-15,33.17,BOQ7 Comdty
BO  Z7,29-Jun-15,33.03,BOZ7 Comdty
BO  V7,29-Jun-15,33.14,BOV7 Comdty
BO  K7,29-Jun-15,33.11,BOK7 Comdty
BO  K6,30-Jun-15,34,BOK6 Comdty
BO  Z5,30-Jun-15,34.07,BOZ5 Comdty
BO  Q5,30-Jun-15,33.65,BOQ15 Comdty
BO  N6,30-Jun-15,33.94,BON6 Comdty
BO  F6,30-Jun-15,34.2,BOF16 Comdty
BO  Q6,30-Jun-15,33.83,BOQ6 Comdty
BO  Z8,30-Jun-15,33.64,BOZ8 Comdty
BO  U7,30-Jun-15,33.84,BOU7 Comdty
BO  N7,30-Jun-15,33.89,BON7 Comdty
BO  K7,30-Jun-15,33.79,BOK7 Comdty
BO  N8,30-Jun-15,33.64,BON8 Comdty
BO  V7,30-Jun-15,33.82,BOV7 Comdty
BO  U6,30-Jun-15,33.71,BOU6 Comdty
BO  V6,30-Jun-15,33.45,BOV6 Comdty
BO  N5,30-Jun-15,33.56,BON15 Comdty
BO  Z6,30-Jun-15,33.44,BOZ6 Comdty
BO  U5,30-Jun-15,33.74,BOU15 Comdty
BO  H6,30-Jun-15,34.21,BOH6 Comdty
BO  V5,30-Jun-15,33.85,BOV15 Comdty
BO  F7,30-Jun-15,33.54,BOF7 Comdty
BO  H7,30-Jun-15,33.71,BOH7 Comdty
BO  Q7,30-Jun-15,33.85,BOQ7 Comdty
BO  Z7,30-Jun-15,33.64,BOZ7 Comdty
BO  V8,30-Jun-15,33.64,BOV8 Comdty
BO  N6,1-Jul-15,33.47,BON6 Comdty
BO  Z5,1-Jul-15,33.49,BOZ5 Comdty
BO  K6,1-Jul-15,33.51,BOK6 Comdty
BO  N8,1-Jul-15,33.18,BON8 Comdty
BO  Q6,1-Jul-15,33.35,BOQ6 Comdty
BO  V7,1-Jul-15,33.36,BOV7 Comdty
BO  U7,1-Jul-15,33.38,BOU7 Comdty
BO  K7,1-Jul-15,33.33,BOK7 Comdty
BO  H6,1-Jul-15,33.69,BOH6 Comdty
BO  F6,1-Jul-15,33.64,BOF16 Comdty
BO  H7,1-Jul-15,33.25,BOH7 Comdty
BO  Z6,1-Jul-15,32.98,BOZ6 Comdty
BO  V6,1-Jul-15,33,BOV6 Comdty
BO  V5,1-Jul-15,33.29,BOV15 Comdty
BO  U6,1-Jul-15,33.23,BOU6 Comdty
BO  N5,1-Jul-15,33.01,BON15 Comdty
BO  Z8,1-Jul-15,33.18,BOZ8 Comdty
BO  Q5,1-Jul-15,33.13,BOQ15 Comdty
BO  U5,1-Jul-15,33.2,BOU15 Comdty
BO  Q7,1-Jul-15,33.39,BOQ7 Comdty
BO  Z7,1-Jul-15,33.18,BOZ7 Comdty
BO  V8,1-Jul-15,33.18,BOV8 Comdty
BO  F7,1-Jul-15,33.08,BOF7 Comdty
BO  N7,1-Jul-15,33.43,BON7 Comdty
BO  Z5,2-Jul-15,33.92,BOZ5 Comdty
BO  Q6,2-Jul-15,33.86,BOQ6 Comdty
BO  V6,2-Jul-15,33.6,BOV6 Comdty
BO  K6,2-Jul-15,34.01,BOK6 Comdty
BO  Q5,2-Jul-15,33.48,BOQ15 Comdty
